GIS_Data_code,category
B18BM01,Under 75
B18BM02,Under 75
B18BM03,Under 75
B18BM04,Under 75
B18BM05,Under 75
B18BM06,Under 75
B18BM07,Under 75
B18BM08,Under 75
B18BM09,Under 75
B18BM10,Under 75
B18BM11,Under 75
B18BM12,Under 75
B18BM13,Under 75
B18BM14,Under 75
B18BM15,Under 75
B18BM16,Over 75
B18BM17,Over 75
B18BM18,Over 75
B18BM19,Over 75
B18BW01,Under 75
B18BW02,Under 75
B18BW03,Under 75
B18BW04,Under 75
B18BW05,Under 75
B18BW06,Under 75
B18BW07,Under 75
B18BW08,Under 75
B18BW09,Under 75
B18BW10,Under 75
B18BW11,Under 75
B18BW12,Under 75
B18BW13,Under 75
B18BW14,Under 75
B18BW15,Under 75
B18BW16,Over 75
B18BW17,Over 75
B18BW18,Over 75
B18BW19,Over 75
