"","date","all","dow","tmean"
"1",1989-01-01,0,"Sun",-2.7
"2",1989-01-02,0,"Mon",-2.8
"3",1989-01-03,1,"Tue",-3.1
"4",1989-01-04,4,"Wed",1.5
"5",1989-01-05,1,"Thu",1.5
"6",1989-01-06,1,"Fri",3.3
"7",1989-01-07,1,"Sat",3.4
"8",1989-01-08,4,"Sun",3.5
"9",1989-01-09,5,"Mon",2.9
"10",1989-01-10,2,"Tue",4.4
"11",1989-01-11,2,"Wed",3.7
"12",1989-01-12,2,"Thu",4.9
"13",1989-01-13,0,"Fri",4.5
"14",1989-01-14,1,"Sat",5.9
"15",1989-01-15,0,"Sun",3.7
"16",1989-01-16,1,"Mon",1
"17",1989-01-17,2,"Tue",0.9
"18",1989-01-18,1,"Wed",0.1
"19",1989-01-19,1,"Thu",-1.9
"20",1989-01-20,0,"Fri",-1.3
"21",1989-01-21,0,"Sat",1.3
"22",1989-01-22,3,"Sun",1.2
"23",1989-01-23,1,"Mon",-0.1
"24",1989-01-24,0,"Tue",-1.7
"25",1989-01-25,0,"Wed",-4.2
"26",1989-01-26,1,"Thu",-4.1
"27",1989-01-27,3,"Fri",-4.2
"28",1989-01-28,0,"Sat",-0.7
"29",1989-01-29,1,"Sun",-0.1
"30",1989-01-30,3,"Mon",-4
"31",1989-01-31,2,"Tue",-4.3
"32",1989-02-01,1,"Wed",0
"33",1989-02-02,4,"Thu",1.5
"34",1989-02-03,0,"Fri",-0.2
"35",1989-02-04,0,"Sat",0.5
"36",1989-02-05,2,"Sun",3.5
"37",1989-02-06,0,"Mon",4.4
"38",1989-02-07,1,"Tue",3.7
"39",1989-02-08,1,"Wed",4.8
"40",1989-02-09,1,"Thu",2
"41",1989-02-10,0,"Fri",-2
"42",1989-02-11,3,"Sat",-0.2
"43",1989-02-12,1,"Sun",3.6
"44",1989-02-13,0,"Mon",2.2
"45",1989-02-14,0,"Tue",0.5
"46",1989-02-15,4,"Wed",2.2
"47",1989-02-16,1,"Thu",2.4
"48",1989-02-17,0,"Fri",2.4
"49",1989-02-18,0,"Sat",6.2
"50",1989-02-19,0,"Sun",10.6
"51",1989-02-20,2,"Mon",9.9
"52",1989-02-21,1,"Tue",4.7
"53",1989-02-22,1,"Wed",6.1
"54",1989-02-23,2,"Thu",5.7
"55",1989-02-24,1,"Fri",4.4
"56",1989-02-25,3,"Sat",4.2
"57",1989-02-26,1,"Sun",2
"58",1989-02-27,1,"Mon",0.9
"59",1989-02-28,0,"Tue",1.1
"60",1989-03-01,1,"Wed",2.8
"61",1989-03-02,0,"Thu",3.6
"62",1989-03-03,4,"Fri",4.6
"63",1989-03-04,1,"Sat",3.9
"64",1989-03-05,2,"Sun",6.3
"65",1989-03-06,1,"Mon",8.6
"66",1989-03-07,3,"Tue",9.8
"67",1989-03-08,2,"Wed",3.5
"68",1989-03-09,2,"Thu",2.8
"69",1989-03-10,0,"Fri",6.4
"70",1989-03-11,2,"Sat",10.3
"71",1989-03-12,2,"Sun",11.6
"72",1989-03-13,2,"Mon",9.6
"73",1989-03-14,1,"Tue",3.7
"74",1989-03-15,2,"Wed",5.6
"75",1989-03-16,4,"Thu",8.4
"76",1989-03-17,1,"Fri",6.9
"77",1989-03-18,3,"Sat",0.9
"78",1989-03-19,2,"Sun",1.5
"79",1989-03-20,0,"Mon",5
"80",1989-03-21,1,"Tue",4.3
"81",1989-03-22,1,"Wed",7.2
"82",1989-03-23,1,"Thu",3
"83",1989-03-24,1,"Fri",3
"84",1989-03-25,1,"Sat",8.8
"85",1989-03-26,1,"Sun",9.1
"86",1989-03-27,0,"Mon",11.8
"87",1989-03-28,0,"Tue",14.1
"88",1989-03-29,1,"Wed",15
"89",1989-03-30,3,"Thu",15
"90",1989-03-31,1,"Fri",14.5
"91",1989-04-01,1,"Sat",9.9
"92",1989-04-02,3,"Sun",7.7
"93",1989-04-03,2,"Mon",5.8
"94",1989-04-04,0,"Tue",4
"95",1989-04-05,2,"Wed",5.1
"96",1989-04-06,2,"Thu",4.1
"97",1989-04-07,1,"Fri",7.9
"98",1989-04-08,0,"Sat",6.2
"99",1989-04-09,3,"Sun",9.7
"100",1989-04-10,1,"Mon",13
"101",1989-04-11,1,"Tue",11.4
"102",1989-04-12,4,"Wed",12.7
"103",1989-04-13,3,"Thu",3.2
"104",1989-04-14,0,"Fri",3.5
"105",1989-04-15,2,"Sat",4.1
"106",1989-04-16,1,"Sun",5.7
"107",1989-04-17,1,"Mon",3.4
"108",1989-04-18,0,"Tue",3.8
"109",1989-04-19,1,"Wed",4.5
"110",1989-04-20,4,"Thu",6.5
"111",1989-04-21,1,"Fri",5.5
"112",1989-04-22,2,"Sat",2.7
"113",1989-04-23,3,"Sun",4.1
"114",1989-04-24,4,"Mon",10.9
"115",1989-04-25,1,"Tue",12.2
"116",1989-04-26,2,"Wed",10.8
"117",1989-04-27,0,"Thu",1.2
"118",1989-04-28,2,"Fri",0.5
"119",1989-04-29,2,"Sat",1.7
"120",1989-04-30,3,"Sun",3.1
"121",1989-05-01,3,"Mon",5.5
"122",1989-05-02,2,"Tue",9.1
"123",1989-05-03,1,"Wed",11.4
"124",1989-05-04,0,"Thu",12.6
"125",1989-05-05,3,"Fri",13.3
"126",1989-05-06,1,"Sat",12.6
"127",1989-05-07,0,"Sun",7.5
"128",1989-05-08,2,"Mon",9.9
"129",1989-05-09,4,"Tue",15.1
"130",1989-05-10,1,"Wed",12.5
"131",1989-05-11,1,"Thu",12.4
"132",1989-05-12,2,"Fri",11
"133",1989-05-13,0,"Sat",8.9
"134",1989-05-14,3,"Sun",6.9
"135",1989-05-15,3,"Mon",8.2
"136",1989-05-16,2,"Tue",10.3
"137",1989-05-17,1,"Wed",12.9
"138",1989-05-18,2,"Thu",15.1
"139",1989-05-19,2,"Fri",15
"140",1989-05-20,6,"Sat",15.7
"141",1989-05-21,1,"Sun",15.9
"142",1989-05-22,2,"Mon",15.6
"143",1989-05-23,1,"Tue",14.7
"144",1989-05-24,3,"Wed",15.7
"145",1989-05-25,1,"Thu",16.1
"146",1989-05-26,1,"Fri",16.6
"147",1989-05-27,3,"Sat",15.3
"148",1989-05-28,1,"Sun",15
"149",1989-05-29,2,"Mon",13.2
"150",1989-05-30,0,"Tue",14.4
"151",1989-05-31,1,"Wed",10.6
"152",1989-06-01,2,"Thu",11.1
"153",1989-06-02,2,"Fri",10.3
"154",1989-06-03,2,"Sat",7.6
"155",1989-06-04,2,"Sun",7.8
"156",1989-06-05,2,"Mon",7.3
"157",1989-06-06,2,"Tue",8.8
"158",1989-06-07,1,"Wed",8
"159",1989-06-08,2,"Thu",10.5
"160",1989-06-09,1,"Fri",13.1
"161",1989-06-10,1,"Sat",15.2
"162",1989-06-11,1,"Sun",14.1
"163",1989-06-12,2,"Mon",14.3
"164",1989-06-13,1,"Tue",14
"165",1989-06-14,2,"Wed",14.6
"166",1989-06-15,2,"Thu",15.6
"167",1989-06-16,1,"Fri",14.5
"168",1989-06-17,0,"Sat",13.8
"169",1989-06-18,1,"Sun",15.8
"170",1989-06-19,0,"Mon",16.9
"171",1989-06-20,3,"Tue",17.1
"172",1989-06-21,0,"Wed",18.4
"173",1989-06-22,3,"Thu",14.4
"174",1989-06-23,2,"Fri",10.3
"175",1989-06-24,1,"Sat",12.9
"176",1989-06-25,0,"Sun",16.5
"177",1989-06-26,1,"Mon",19.5
"178",1989-06-27,0,"Tue",18.2
"179",1989-06-28,1,"Wed",11.9
"180",1989-06-29,0,"Thu",13.5
"181",1989-06-30,1,"Fri",15.1
"182",1989-07-01,0,"Sat",16.7
"183",1989-07-02,4,"Sun",12.8
"184",1989-07-03,0,"Mon",11.7
"185",1989-07-04,1,"Tue",14.3
"186",1989-07-05,1,"Wed",17.9
"187",1989-07-06,2,"Thu",20.8
"188",1989-07-07,2,"Fri",20.7
"189",1989-07-08,0,"Sat",17.8
"190",1989-07-09,1,"Sun",17
"191",1989-07-10,2,"Mon",16.7
"192",1989-07-11,1,"Tue",14.7
"193",1989-07-12,1,"Wed",15.4
"194",1989-07-13,0,"Thu",17.7
"195",1989-07-14,1,"Fri",14.9
"196",1989-07-15,1,"Sat",13.6
"197",1989-07-16,1,"Sun",16.6
"198",1989-07-17,2,"Mon",14.8
"199",1989-07-18,2,"Tue",14.4
"200",1989-07-19,0,"Wed",14.5
"201",1989-07-20,2,"Thu",16.6
"202",1989-07-21,1,"Fri",19.8
"203",1989-07-22,2,"Sat",20.8
"204",1989-07-23,0,"Sun",23
"205",1989-07-24,0,"Mon",20.4
"206",1989-07-25,1,"Tue",18.4
"207",1989-07-26,2,"Wed",19.1
"208",1989-07-27,2,"Thu",17.6
"209",1989-07-28,1,"Fri",15.1
"210",1989-07-29,3,"Sat",16.2
"211",1989-07-30,1,"Sun",20.5
"212",1989-07-31,0,"Mon",12.5
"213",1989-08-01,3,"Tue",8.9
"214",1989-08-02,1,"Wed",10.3
"215",1989-08-03,1,"Thu",13.8
"216",1989-08-04,2,"Fri",14.7
"217",1989-08-05,1,"Sat",18
"218",1989-08-06,4,"Sun",17.3
"219",1989-08-07,1,"Mon",18.8
"220",1989-08-08,4,"Tue",15.8
"221",1989-08-09,0,"Wed",15.6
"222",1989-08-10,2,"Thu",17.2
"223",1989-08-11,4,"Fri",18
"224",1989-08-12,0,"Sat",18.5
"225",1989-08-13,1,"Sun",18.8
"226",1989-08-14,2,"Mon",18.8
"227",1989-08-15,3,"Tue",20.5
"228",1989-08-16,2,"Wed",23
"229",1989-08-17,5,"Thu",17.9
"230",1989-08-18,1,"Fri",16.7
"231",1989-08-19,2,"Sat",17.7
"232",1989-08-20,3,"Sun",20.1
"233",1989-08-21,2,"Mon",21.2
"234",1989-08-22,2,"Tue",19.8
"235",1989-08-23,3,"Wed",17.7
"236",1989-08-24,2,"Thu",16.8
"237",1989-08-25,0,"Fri",18.1
"238",1989-08-26,0,"Sat",15.6
"239",1989-08-27,1,"Sun",13.9
"240",1989-08-28,0,"Mon",9.4
"241",1989-08-29,0,"Tue",9.6
"242",1989-08-30,0,"Wed",10.7
"243",1989-08-31,0,"Thu",11.9
"244",1989-09-01,0,"Fri",13.4
"245",1989-09-02,2,"Sat",11.6
"246",1989-09-03,0,"Sun",9.1
"247",1989-09-04,1,"Mon",8.4
"248",1989-09-05,2,"Tue",10
"249",1989-09-06,2,"Wed",10.9
"250",1989-09-07,3,"Thu",11.7
"251",1989-09-08,1,"Fri",11.6
"252",1989-09-09,1,"Sat",14
"253",1989-09-10,2,"Sun",15.9
"254",1989-09-11,0,"Mon",14.2
"255",1989-09-12,2,"Tue",13.6
"256",1989-09-13,3,"Wed",13.1
"257",1989-09-14,0,"Thu",12.3
"258",1989-09-15,3,"Fri",12.9
"259",1989-09-16,1,"Sat",16.4
"260",1989-09-17,0,"Sun",17.7
"261",1989-09-18,4,"Mon",19.1
"262",1989-09-19,2,"Tue",18.3
"263",1989-09-20,1,"Wed",16.5
"264",1989-09-21,1,"Thu",16.4
"265",1989-09-22,1,"Fri",17.4
"266",1989-09-23,1,"Sat",14.4
"267",1989-09-24,5,"Sun",10.5
"268",1989-09-25,0,"Mon",10.8
"269",1989-09-26,0,"Tue",10.4
"270",1989-09-27,2,"Wed",9.8
"271",1989-09-28,2,"Thu",6.4
"272",1989-09-29,6,"Fri",7.2
"273",1989-09-30,2,"Sat",7.4
"274",1989-10-01,1,"Sun",9.8
"275",1989-10-02,0,"Mon",8.7
"276",1989-10-03,2,"Tue",7.7
"277",1989-10-04,0,"Wed",7.1
"278",1989-10-05,3,"Thu",10.6
"279",1989-10-06,3,"Fri",11.5
"280",1989-10-07,0,"Sat",7.2
"281",1989-10-08,0,"Sun",3.5
"282",1989-10-09,2,"Mon",5.5
"283",1989-10-10,3,"Tue",5.2
"284",1989-10-11,3,"Wed",5.9
"285",1989-10-12,0,"Thu",7.8
"286",1989-10-13,3,"Fri",9.4
"287",1989-10-14,2,"Sat",9.5
"288",1989-10-15,4,"Sun",6.4
"289",1989-10-16,1,"Mon",6.3
"290",1989-10-17,3,"Tue",9.3
"291",1989-10-18,1,"Wed",11.3
"292",1989-10-19,3,"Thu",12.2
"293",1989-10-20,2,"Fri",11.3
"294",1989-10-21,1,"Sat",15.4
"295",1989-10-22,2,"Sun",15.6
"296",1989-10-23,1,"Mon",14.9
"297",1989-10-24,2,"Tue",14.8
"298",1989-10-25,0,"Wed",14.1
"299",1989-10-26,0,"Thu",15
"300",1989-10-27,1,"Fri",14.3
"301",1989-10-28,1,"Sat",16.2
"302",1989-10-29,0,"Sun",9
"303",1989-10-30,0,"Mon",12.8
"304",1989-10-31,2,"Tue",13
"305",1989-11-01,1,"Wed",12.3
"306",1989-11-02,0,"Thu",12.2
"307",1989-11-03,3,"Fri",9.3
"308",1989-11-04,3,"Sat",4.4
"309",1989-11-05,3,"Sun",4.5
"310",1989-11-06,0,"Mon",1.1
"311",1989-11-07,5,"Tue",1.3
"312",1989-11-08,3,"Wed",3.4
"313",1989-11-09,1,"Thu",4.4
"314",1989-11-10,1,"Fri",2.6
"315",1989-11-11,1,"Sat",2
"316",1989-11-12,2,"Sun",1.1
"317",1989-11-13,0,"Mon",0.3
"318",1989-11-14,3,"Tue",-0.3
"319",1989-11-15,2,"Wed",0.2
"320",1989-11-16,0,"Thu",0.6
"321",1989-11-17,2,"Fri",-1.2
"322",1989-11-18,1,"Sat",-0.9
"323",1989-11-19,3,"Sun",3.6
"324",1989-11-20,2,"Mon",3
"325",1989-11-21,3,"Tue",4.9
"326",1989-11-22,1,"Wed",5.2
"327",1989-11-23,1,"Thu",-3.3
"328",1989-11-24,3,"Fri",-3.6
"329",1989-11-25,0,"Sat",-4.2
"330",1989-11-26,0,"Sun",-6.2
"331",1989-11-27,3,"Mon",-3.4
"332",1989-11-28,1,"Tue",-0.5
"333",1989-11-29,2,"Wed",-3.5
"334",1989-11-30,2,"Thu",-3.2
"335",1989-12-01,1,"Fri",-3.6
"336",1989-12-02,3,"Sat",-4.7
"337",1989-12-03,2,"Sun",-4.3
"338",1989-12-04,0,"Mon",-5.2
"339",1989-12-05,2,"Tue",-4.8
"340",1989-12-06,6,"Wed",-4.3
"341",1989-12-07,1,"Thu",-2.9
"342",1989-12-08,0,"Fri",-3
"343",1989-12-09,1,"Sat",-3.8
"344",1989-12-10,3,"Sun",-5
"345",1989-12-11,3,"Mon",0.3
"346",1989-12-12,1,"Tue",1.6
"347",1989-12-13,2,"Wed",7.2
"348",1989-12-14,0,"Thu",10.9
"349",1989-12-15,0,"Fri",8.8
"350",1989-12-16,1,"Sat",15.6
"351",1989-12-17,4,"Sun",10.5
"352",1989-12-18,0,"Mon",13
"353",1989-12-19,1,"Tue",6.1
"354",1989-12-20,1,"Wed",8.9
"355",1989-12-21,2,"Thu",11.9
"356",1989-12-22,1,"Fri",8.5
"357",1989-12-23,0,"Sat",3.3
"358",1989-12-24,1,"Sun",5.4
"359",1989-12-25,2,"Mon",5.7
"360",1989-12-26,1,"Tue",-1
"361",1989-12-27,1,"Wed",-4.2
"362",1989-12-28,3,"Thu",-3.1
"363",1989-12-29,2,"Fri",-4.2
"364",1989-12-30,1,"Sat",-5.2
"365",1989-12-31,3,"Sun",-5.3
"366",1990-01-01,4,"Mon",-4.3
"367",1990-01-02,2,"Tue",-2.6
"368",1990-01-03,3,"Wed",-4.2
"369",1990-01-04,3,"Thu",-3.8
"370",1990-01-05,0,"Fri",1.4
"371",1990-01-06,2,"Sat",-0.2
"372",1990-01-07,4,"Sun",-2.7
"373",1990-01-08,1,"Mon",-2.7
"374",1990-01-09,2,"Tue",-2.8
"375",1990-01-10,0,"Wed",-4.9
"376",1990-01-11,2,"Thu",-3.8
"377",1990-01-12,2,"Fri",-1.9
"378",1990-01-13,2,"Sat",0.4
"379",1990-01-14,0,"Sun",-1.2
"380",1990-01-15,2,"Mon",1.2
"381",1990-01-16,2,"Tue",5.1
"382",1990-01-17,3,"Wed",5.4
"383",1990-01-18,5,"Thu",0.7
"384",1990-01-19,6,"Fri",-3.4
"385",1990-01-20,0,"Sat",2.9
"386",1990-01-21,3,"Sun",4.4
