"","date","all","dow","tmean"
"1",1989-01-01,4,"Sun",-4.6878
"2",1989-01-02,4,"Mon",-4.7316
"3",1989-01-03,5,"Tue",-2.955
"4",1989-01-04,6,"Wed",-2.7222
"5",1989-01-05,3,"Thu",-2.7142
"6",1989-01-06,5,"Fri",1.1465
"7",1989-01-07,3,"Sat",2.4537
"8",1989-01-08,8,"Sun",2.9777
"9",1989-01-09,6,"Mon",3.9069
"10",1989-01-10,3,"Tue",0.7873
"11",1989-01-11,2,"Wed",2.3709
"12",1989-01-12,7,"Thu",3.2582
"13",1989-01-13,2,"Fri",2.2621
"14",1989-01-14,4,"Sat",0.9593
"15",1989-01-15,7,"Sun",1.5167
"16",1989-01-16,5,"Mon",0.7855
"17",1989-01-17,5,"Tue",-0.5565
"18",1989-01-18,7,"Wed",-1.1018
"19",1989-01-19,1,"Thu",-1.9569
"20",1989-01-20,4,"Fri",-1.2147
"21",1989-01-21,4,"Sat",0.2776
"22",1989-01-22,6,"Sun",1.1212
"23",1989-01-23,7,"Mon",-0.7382
"24",1989-01-24,5,"Tue",-2.0535
"25",1989-01-25,5,"Wed",-1.0523
"26",1989-01-26,4,"Thu",-1.4897
"27",1989-01-27,3,"Fri",-3.5736
"28",1989-01-28,8,"Sat",-2.5557
"29",1989-01-29,2,"Sun",-1.0257
"30",1989-01-30,10,"Mon",-1.7414
"31",1989-01-31,0,"Tue",-2.8377
"32",1989-02-01,4,"Wed",-2.5385
"33",1989-02-02,9,"Thu",-1.1169
"34",1989-02-03,3,"Fri",-1.6869
"35",1989-02-04,5,"Sat",-1.8239
"36",1989-02-05,6,"Sun",0.2266
"37",1989-02-06,6,"Mon",3.1632
"38",1989-02-07,9,"Tue",2.9322
"39",1989-02-08,5,"Wed",2.8927
"40",1989-02-09,2,"Thu",3.7504
"41",1989-02-10,7,"Fri",1.4753
"42",1989-02-11,4,"Sat",-0.9476
"43",1989-02-12,2,"Sun",1.5126
"44",1989-02-13,10,"Mon",2.261
"45",1989-02-14,2,"Tue",-0.1784
"46",1989-02-15,4,"Wed",0.0253000000000001
"47",1989-02-16,9,"Thu",0.9676
"48",1989-02-17,3,"Fri",3.2116
"49",1989-02-18,6,"Sat",3.5541
"50",1989-02-19,3,"Sun",5.3395
"51",1989-02-20,3,"Mon",6.2637
"52",1989-02-21,6,"Tue",6.1979
"53",1989-02-22,3,"Wed",6.2418
"54",1989-02-23,5,"Thu",7.5512
"55",1989-02-24,5,"Fri",5.4575
"56",1989-02-25,7,"Sat",4.9406
"57",1989-02-26,4,"Sun",1.7614
"58",1989-02-27,3,"Mon",0.4807
"59",1989-02-28,9,"Tue",0.2218
"60",1989-03-01,6,"Wed",1.4904
"61",1989-03-02,1,"Thu",3.777
"62",1989-03-03,5,"Fri",4.6479
"63",1989-03-04,3,"Sat",3.6906
"64",1989-03-05,10,"Sun",5.0337
"65",1989-03-06,5,"Mon",7.4868
"66",1989-03-07,6,"Tue",8.7365
"67",1989-03-08,7,"Wed",5.137
"68",1989-03-09,2,"Thu",3.9549
"69",1989-03-10,4,"Fri",6.5573
"70",1989-03-11,4,"Sat",8.9487
"71",1989-03-12,3,"Sun",9.6793
"72",1989-03-13,3,"Mon",9.4834
"73",1989-03-14,5,"Tue",5.0696
"74",1989-03-15,3,"Wed",4.3577
"75",1989-03-16,5,"Thu",9.409
"76",1989-03-17,3,"Fri",8.4669
"77",1989-03-18,3,"Sat",2.946
"78",1989-03-19,5,"Sun",4.4447
"79",1989-03-20,2,"Mon",7.1846
"80",1989-03-21,4,"Tue",5.1518
"81",1989-03-22,6,"Wed",6.0627
"82",1989-03-23,3,"Thu",4.1038
"83",1989-03-24,8,"Fri",2.9228
"84",1989-03-25,3,"Sat",7.3575
"85",1989-03-26,4,"Sun",10.596
"86",1989-03-27,2,"Mon",12.7287
"87",1989-03-28,3,"Tue",13.4118
"88",1989-03-29,5,"Wed",12.4902
"89",1989-03-30,5,"Thu",13.413
"90",1989-03-31,2,"Fri",13.5405
"91",1989-04-01,1,"Sat",10.9049
"92",1989-04-02,3,"Sun",8.5944
"93",1989-04-03,5,"Mon",10.1533
"94",1989-04-04,5,"Tue",10.6778
"95",1989-04-05,7,"Wed",6.9538
"96",1989-04-06,8,"Thu",5.1619
"97",1989-04-07,4,"Fri",8.0127
"98",1989-04-08,4,"Sat",9.4441
"99",1989-04-09,6,"Sun",10.2973
"100",1989-04-10,3,"Mon",12.928
"101",1989-04-11,1,"Tue",12.6571
"102",1989-04-12,1,"Wed",11.8913
"103",1989-04-13,4,"Thu",5.2258
"104",1989-04-14,2,"Fri",4.8678
"105",1989-04-15,7,"Sat",5.242
"106",1989-04-16,7,"Sun",9.0181
"107",1989-04-17,7,"Mon",4.8244
"108",1989-04-18,3,"Tue",5.8208
"109",1989-04-19,4,"Wed",6.1091
"110",1989-04-20,6,"Thu",8.1478
"111",1989-04-21,5,"Fri",6.8238
"112",1989-04-22,6,"Sat",4.5885
"113",1989-04-23,1,"Sun",6.0484
"114",1989-04-24,2,"Mon",9.8837
"115",1989-04-25,0,"Tue",10.795
"116",1989-04-26,6,"Wed",9.9553
"117",1989-04-27,2,"Thu",2.8326
"118",1989-04-28,1,"Fri",3.2629
"119",1989-04-29,3,"Sat",3.7248
"120",1989-04-30,6,"Sun",5.1497
"121",1989-05-01,7,"Mon",6.5965
"122",1989-05-02,7,"Tue",9.125
"123",1989-05-03,6,"Wed",11.4311
"124",1989-05-04,6,"Thu",13.2389
"125",1989-05-05,4,"Fri",13.9824
"126",1989-05-06,5,"Sat",12.3162
"127",1989-05-07,3,"Sun",9.5089
"128",1989-05-08,4,"Mon",10.3623
"129",1989-05-09,5,"Tue",14.9238
"130",1989-05-10,3,"Wed",12.6623
"131",1989-05-11,5,"Thu",12.8437
"132",1989-05-12,4,"Fri",11.9598
"133",1989-05-13,9,"Sat",10.5985
"134",1989-05-14,5,"Sun",8.2522
"135",1989-05-15,5,"Mon",9.3003
"136",1989-05-16,1,"Tue",10.4793
"137",1989-05-17,7,"Wed",13.5495
"138",1989-05-18,4,"Thu",15.867
"139",1989-05-19,5,"Fri",14.5455
"140",1989-05-20,4,"Sat",14.2019
"141",1989-05-21,5,"Sun",15.8617
"142",1989-05-22,3,"Mon",17.816
"143",1989-05-23,6,"Tue",16.2104
"144",1989-05-24,5,"Wed",17.7008
"145",1989-05-25,5,"Thu",17.1463
"146",1989-05-26,7,"Fri",15.5057
"147",1989-05-27,4,"Sat",13.9654
"148",1989-05-28,0,"Sun",15.1717
"149",1989-05-29,4,"Mon",14.6069
"150",1989-05-30,4,"Tue",14.6265
"151",1989-05-31,3,"Wed",13.5017
"152",1989-06-01,5,"Thu",12.4633
"153",1989-06-02,2,"Fri",11.5485
"154",1989-06-03,1,"Sat",7.3154
"155",1989-06-04,3,"Sun",8.8004
"156",1989-06-05,5,"Mon",8.4442
"157",1989-06-06,3,"Tue",9.6105
"158",1989-06-07,5,"Wed",7.8333
"159",1989-06-08,8,"Thu",10.0342
"160",1989-06-09,3,"Fri",12.4239
"161",1989-06-10,3,"Sat",15.91
"162",1989-06-11,3,"Sun",15.5221
"163",1989-06-12,4,"Mon",15.2019
"164",1989-06-13,5,"Tue",15.6869
"165",1989-06-14,7,"Wed",16.7244
"166",1989-06-15,2,"Thu",15.9936
"167",1989-06-16,3,"Fri",14.4579
"168",1989-06-17,4,"Sat",14.4438
"169",1989-06-18,4,"Sun",16.6605
"170",1989-06-19,1,"Mon",17.6135
"171",1989-06-20,1,"Tue",17.681
"172",1989-06-21,4,"Wed",18.7054
"173",1989-06-22,3,"Thu",15.4514
"174",1989-06-23,2,"Fri",11.2987
"175",1989-06-24,6,"Sat",13.6034
"176",1989-06-25,2,"Sun",17.7966
"177",1989-06-26,6,"Mon",18.9964
"178",1989-06-27,4,"Tue",18.265
"179",1989-06-28,4,"Wed",12.8177
"180",1989-06-29,1,"Thu",14.3316
"181",1989-06-30,2,"Fri",15.7083
"182",1989-07-01,3,"Sat",15.9839
