"","date","all","dow","tmean"
"1",1989-01-01,4,"Sun",0.4551
"2",1989-01-02,1,"Mon",-0.769
"3",1989-01-03,1,"Tue",-3.0757
"4",1989-01-04,4,"Wed",-2.5653
"5",1989-01-05,1,"Thu",1.2621
"6",1989-01-06,2,"Fri",5.2241
"7",1989-01-07,4,"Sat",4.1931
"8",1989-01-08,0,"Sun",3.6069
"9",1989-01-09,3,"Mon",2.1655
"10",1989-01-10,1,"Tue",1.8794
"11",1989-01-11,4,"Wed",3.6242
"12",1989-01-12,1,"Thu",4.9932
"13",1989-01-13,2,"Fri",4.7138
"14",1989-01-14,0,"Sat",2.0174
"15",1989-01-15,4,"Sun",5.9551
"16",1989-01-16,1,"Mon",2.1896
"17",1989-01-17,2,"Tue",-0.3034
"18",1989-01-18,0,"Wed",1.3862
"19",1989-01-19,1,"Thu",1.862
"20",1989-01-20,6,"Fri",-1.3861
"21",1989-01-21,1,"Sat",1.6346
"22",1989-01-22,1,"Sun",2.6379
"23",1989-01-23,3,"Mon",1.9586
"24",1989-01-24,0,"Tue",1.7275
"25",1989-01-25,2,"Wed",-1.4275
"26",1989-01-26,1,"Thu",-1.8447
"27",1989-01-27,2,"Fri",-1.9379
"28",1989-01-28,0,"Sat",-2.0171
"29",1989-01-29,4,"Sun",-1.7792
"30",1989-01-30,2,"Mon",-1.869
"31",1989-01-31,2,"Tue",-1.7552
"32",1989-02-01,2,"Wed",-1.1723
"33",1989-02-02,0,"Thu",-1.2758
"34",1989-02-03,3,"Fri",-1.5724
"35",1989-02-04,2,"Sat",-1.0585
"36",1989-02-05,3,"Sun",0.6001
"37",1989-02-06,2,"Mon",2.9311
"38",1989-02-07,2,"Tue",2.3794
"39",1989-02-08,2,"Wed",1.9967
"40",1989-02-09,1,"Thu",1.2794
"41",1989-02-10,1,"Fri",1.376
"42",1989-02-11,0,"Sat",1.5346
"43",1989-02-12,2,"Sun",2.8932
"44",1989-02-13,3,"Mon",3.3345
"45",1989-02-14,0,"Tue",2.9827
"46",1989-02-15,3,"Wed",2.8138
"47",1989-02-16,0,"Thu",4.3103
"48",1989-02-17,2,"Fri",4.7241
"49",1989-02-18,1,"Sat",4.8725
"50",1989-02-19,0,"Sun",12.1241
"51",1989-02-20,1,"Mon",8.5242
"52",1989-02-21,1,"Tue",6.9827
"53",1989-02-22,6,"Wed",6.7172
"54",1989-02-23,1,"Thu",5.1689
"55",1989-02-24,1,"Fri",3.0517
"56",1989-02-25,0,"Sat",5.6034
"57",1989-02-26,1,"Sun",4.4206
"58",1989-02-27,1,"Mon",3.5413
"59",1989-02-28,3,"Tue",2.9103
"60",1989-03-01,2,"Wed",5.0551
"61",1989-03-02,1,"Thu",6.762
"62",1989-03-03,0,"Fri",6.8758
"63",1989-03-04,1,"Sat",7.3758
"64",1989-03-05,1,"Sun",6.6242
"65",1989-03-06,0,"Mon",7.6346
"66",1989-03-07,1,"Tue",7.007
"67",1989-03-08,3,"Wed",5.6792
"68",1989-03-09,0,"Thu",3.8862
"69",1989-03-10,2,"Fri",6.7104
"70",1989-03-11,5,"Sat",7.876
"71",1989-03-12,2,"Sun",9.9139
"72",1989-03-13,2,"Mon",6.2104
"73",1989-03-14,1,"Tue",4.1276
"74",1989-03-15,1,"Wed",7.8689
"75",1989-03-16,0,"Thu",10.762
"76",1989-03-17,2,"Fri",6.9896
"77",1989-03-18,2,"Sat",2.9103
"78",1989-03-19,1,"Sun",3.6379
"79",1989-03-20,2,"Mon",4.0828
"80",1989-03-21,1,"Tue",5.5379
"81",1989-03-22,2,"Wed",9.8689
"82",1989-03-23,2,"Thu",4.731
"83",1989-03-24,2,"Fri",4.0414
"84",1989-03-25,2,"Sat",9.2172
"85",1989-03-26,2,"Sun",8.6828
"86",1989-03-27,3,"Mon",11.007
"87",1989-03-28,0,"Tue",12.6208
"88",1989-03-29,2,"Wed",13.0932
"89",1989-03-30,3,"Thu",12.7346
"90",1989-03-31,0,"Fri",12.7587
"91",1989-04-01,1,"Sat",9.3414
"92",1989-04-02,2,"Sun",10.562
"93",1989-04-03,0,"Mon",7.031
"94",1989-04-04,1,"Tue",7.3999
"95",1989-04-05,1,"Wed",6.7137
"96",1989-04-06,1,"Thu",5.8793
"97",1989-04-07,0,"Fri",8.4965
"98",1989-04-08,4,"Sat",7.8206
"99",1989-04-09,2,"Sun",10.631
"100",1989-04-10,4,"Mon",11.2965
"101",1989-04-11,2,"Tue",12.7586
"102",1989-04-12,2,"Wed",9.0241
"103",1989-04-13,1,"Thu",5.331
"104",1989-04-14,0,"Fri",5.5034
"105",1989-04-15,2,"Sat",7.5896
"106",1989-04-16,1,"Sun",4.9483
"107",1989-04-17,2,"Mon",6.2103
"108",1989-04-18,2,"Tue",7.7758
"109",1989-04-19,2,"Wed",6.8827
"110",1989-04-20,4,"Thu",7.5241
"111",1989-04-21,4,"Fri",5.9827
"112",1989-04-22,1,"Sat",4.862
"113",1989-04-23,2,"Sun",8.8344
"114",1989-04-24,4,"Mon",9.2897
"115",1989-04-25,0,"Tue",9.5517
"116",1989-04-26,2,"Wed",6.9551
"117",1989-04-27,3,"Thu",4.2103
"118",1989-04-28,3,"Fri",2.5172
"119",1989-04-29,2,"Sat",5.0344
"120",1989-04-30,1,"Sun",6.4896
"121",1989-05-01,4,"Mon",7.8655
"122",1989-05-02,1,"Tue",9.1242
"123",1989-05-03,2,"Wed",12.1966
"124",1989-05-04,1,"Thu",14.4207
"125",1989-05-05,0,"Fri",14.5552
"126",1989-05-06,4,"Sat",13.3621
"127",1989-05-07,2,"Sun",10.3103
"128",1989-05-08,2,"Mon",10.6276
"129",1989-05-09,0,"Tue",14.5242
"130",1989-05-10,2,"Wed",13.4896
"131",1989-05-11,1,"Thu",14.1689
"132",1989-05-12,2,"Fri",11.8172
"133",1989-05-13,1,"Sat",11.0413
"134",1989-05-14,2,"Sun",11.4689
"135",1989-05-15,1,"Mon",11.2448
"136",1989-05-16,2,"Tue",12.0621
"137",1989-05-17,2,"Wed",13.2966
"138",1989-05-18,4,"Thu",15.869
"139",1989-05-19,0,"Fri",17.0138
"140",1989-05-20,2,"Sat",17.2345
"141",1989-05-21,2,"Sun",17.7138
"142",1989-05-22,2,"Mon",17.9931
"143",1989-05-23,3,"Tue",17.7793
"144",1989-05-24,2,"Wed",19.0793
"145",1989-05-25,2,"Thu",17.9655
"146",1989-05-26,1,"Fri",17.5931
"147",1989-05-27,2,"Sat",16.5931
"148",1989-05-28,1,"Sun",15.6034
"149",1989-05-29,3,"Mon",16.0172
"150",1989-05-30,0,"Tue",14.9069
"151",1989-05-31,0,"Wed",12.3241
"152",1989-06-01,3,"Thu",10.4
"153",1989-06-02,0,"Fri",12.1793
"154",1989-06-03,1,"Sat",11.4413
"155",1989-06-04,0,"Sun",10.3965
"156",1989-06-05,0,"Mon",8.9689
"157",1989-06-06,2,"Tue",9.3586
"158",1989-06-07,3,"Wed",10.5896
"159",1989-06-08,4,"Thu",10.7655
"160",1989-06-09,1,"Fri",14.4931
"161",1989-06-10,3,"Sat",14.4207
"162",1989-06-11,1,"Sun",16.1172
"163",1989-06-12,0,"Mon",17.0172
"164",1989-06-13,2,"Tue",17.7
"165",1989-06-14,1,"Wed",18.2517
"166",1989-06-15,0,"Thu",17.6862
"167",1989-06-16,0,"Fri",17.5276
"168",1989-06-17,2,"Sat",16.2931
"169",1989-06-18,4,"Sun",17.5621
"170",1989-06-19,1,"Mon",18.9345
"171",1989-06-20,1,"Tue",19.3621
"172",1989-06-21,3,"Wed",19.9035
"173",1989-06-22,0,"Thu",15.1482
"174",1989-06-23,2,"Fri",13.0448
"175",1989-06-24,4,"Sat",17.0448
"176",1989-06-25,1,"Sun",18.3552
"177",1989-06-26,4,"Mon",18.7483
"178",1989-06-27,5,"Tue",18.2586
"179",1989-06-28,2,"Wed",15.1482
"180",1989-06-29,3,"Thu",16.3861
"181",1989-06-30,0,"Fri",16.8896
"182",1989-07-01,0,"Sat",19.3172
"183",1989-07-02,2,"Sun",16.0999
"184",1989-07-03,1,"Mon",16.4447
"185",1989-07-04,2,"Tue",15.0999
"186",1989-07-05,1,"Wed",19.6034
"187",1989-07-06,1,"Thu",20.6449
"188",1989-07-07,2,"Fri",20.7931
"189",1989-07-08,1,"Sat",18.0862
"190",1989-07-09,1,"Sun",19.0068
"191",1989-07-10,0,"Mon",17.5517
"192",1989-07-11,0,"Tue",15.9172
"193",1989-07-12,3,"Wed",19.2551
"194",1989-07-13,3,"Thu",18.831
"195",1989-07-14,3,"Fri",16.3034
"196",1989-07-15,2,"Sat",14.4
"197",1989-07-16,0,"Sun",17.1069
"198",1989-07-17,2,"Mon",17.9965
"199",1989-07-18,4,"Tue",16.8448
"200",1989-07-19,0,"Wed",17.0034
"201",1989-07-20,1,"Thu",17.7069
"202",1989-07-21,1,"Fri",20.7621
"203",1989-07-22,1,"Sat",20.4311
"204",1989-07-23,2,"Sun",22.7966
"205",1989-07-24,1,"Mon",23.4931
"206",1989-07-25,1,"Tue",21.8551
"207",1989-07-26,2,"Wed",19.4759
"208",1989-07-27,1,"Thu",19.2069
