"","date","all","dow","tmean"
"1",1989-01-01,0,"Sun",-7.3
"2",1989-01-02,2,"Mon",-7
"3",1989-01-03,1,"Tue",-0.6
"4",1989-01-04,0,"Wed",-0.8
"5",1989-01-05,0,"Thu",-2.1
"6",1989-01-06,2,"Fri",0.7
"7",1989-01-07,3,"Sat",1.6
"8",1989-01-08,2,"Sun",2.4
"9",1989-01-09,0,"Mon",4.1
"10",1989-01-10,0,"Tue",0.7
"11",1989-01-11,2,"Wed",1.5
"12",1989-01-12,1,"Thu",0.7
"13",1989-01-13,0,"Fri",1.1
"14",1989-01-14,2,"Sat",0.9
"15",1989-01-15,2,"Sun",0.1
"16",1989-01-16,2,"Mon",1.5
"17",1989-01-17,0,"Tue",-0.8
"18",1989-01-18,2,"Wed",-3.9
"19",1989-01-19,0,"Thu",-4.7
"20",1989-01-20,2,"Fri",-0.3
"21",1989-01-21,1,"Sat",-1.1
"22",1989-01-22,2,"Sun",-1.1
"23",1989-01-23,2,"Mon",-4
"24",1989-01-24,2,"Tue",-5.1
"25",1989-01-25,2,"Wed",-1
"26",1989-01-26,0,"Thu",-0.4
"27",1989-01-27,0,"Fri",-1.2
"28",1989-01-28,1,"Sat",0.1
"29",1989-01-29,3,"Sun",-0.8
"30",1989-01-30,0,"Mon",-1.2
"31",1989-01-31,1,"Tue",0.2
"32",1989-02-01,0,"Wed",2.5
"33",1989-02-02,1,"Thu",1.1
"34",1989-02-03,3,"Fri",1.2
"35",1989-02-04,0,"Sat",0.1
"36",1989-02-05,2,"Sun",0.1
"37",1989-02-06,0,"Mon",0.9
"38",1989-02-07,1,"Tue",2.5
"39",1989-02-08,2,"Wed",2.7
"40",1989-02-09,0,"Thu",2.2
"41",1989-02-10,0,"Fri",1.6
"42",1989-02-11,2,"Sat",0.8
"43",1989-02-12,1,"Sun",2.1
"44",1989-02-13,1,"Mon",-0.6
"45",1989-02-14,0,"Tue",-1.2
"46",1989-02-15,1,"Wed",-0.3
"47",1989-02-16,3,"Thu",0.8
"48",1989-02-17,2,"Fri",0.7
"49",1989-02-18,3,"Sat",2.8
"50",1989-02-19,1,"Sun",5.6
"51",1989-02-20,1,"Mon",5.8
"52",1989-02-21,0,"Tue",4.5
"53",1989-02-22,0,"Wed",4.1
"54",1989-02-23,0,"Thu",3.1
"55",1989-02-24,1,"Fri",2.5
"56",1989-02-25,1,"Sat",2.6
"57",1989-02-26,0,"Sun",0.1
"58",1989-02-27,1,"Mon",-0.3
"59",1989-02-28,0,"Tue",-0.6
"60",1989-03-01,0,"Wed",1.5
"61",1989-03-02,0,"Thu",2.9
"62",1989-03-03,0,"Fri",2.9
"63",1989-03-04,0,"Sat",1.7
"64",1989-03-05,2,"Sun",4.2
"65",1989-03-06,1,"Mon",6.5
"66",1989-03-07,2,"Tue",7.1
"67",1989-03-08,0,"Wed",2
"68",1989-03-09,0,"Thu",-0.1
"69",1989-03-10,0,"Fri",4.9
"70",1989-03-11,1,"Sat",8
"71",1989-03-12,2,"Sun",10.1
"72",1989-03-13,1,"Mon",7.2
"73",1989-03-14,1,"Tue",1.5
"74",1989-03-15,0,"Wed",4.1
"75",1989-03-16,0,"Thu",6.3
"76",1989-03-17,0,"Fri",4.4
"77",1989-03-18,0,"Sat",0.2
"78",1989-03-19,1,"Sun",-0.2
"79",1989-03-20,0,"Mon",2.9
"80",1989-03-21,0,"Tue",2.9
"81",1989-03-22,2,"Wed",5.4
"82",1989-03-23,0,"Thu",1.4
"83",1989-03-24,0,"Fri",1.1
"84",1989-03-25,1,"Sat",6.7
"85",1989-03-26,0,"Sun",7.7
"86",1989-03-27,0,"Mon",10.8
"87",1989-03-28,3,"Tue",11.3
"88",1989-03-29,0,"Wed",11.5
"89",1989-03-30,0,"Thu",11.8
"90",1989-03-31,3,"Fri",12.8
"91",1989-04-01,0,"Sat",8.1
"92",1989-04-02,0,"Sun",7.1
"93",1989-04-03,0,"Mon",6.7
"94",1989-04-04,0,"Tue",3.8
"95",1989-04-05,0,"Wed",2.5
"96",1989-04-06,0,"Thu",1.5
"97",1989-04-07,1,"Fri",4.9
"98",1989-04-08,1,"Sat",5.7
"99",1989-04-09,2,"Sun",8.3
"100",1989-04-10,1,"Mon",11.4
"101",1989-04-11,0,"Tue",10.6
"102",1989-04-12,0,"Wed",10.2
"103",1989-04-13,1,"Thu",1
"104",1989-04-14,0,"Fri",1.6
"105",1989-04-15,1,"Sat",2.4
"106",1989-04-16,2,"Sun",4.4
"107",1989-04-17,1,"Mon",2.4
"108",1989-04-18,0,"Tue",2.9
"109",1989-04-19,0,"Wed",4.5
"110",1989-04-20,0,"Thu",6.7
"111",1989-04-21,1,"Fri",4.2
"112",1989-04-22,1,"Sat",1.5
"113",1989-04-23,0,"Sun",4.7
"114",1989-04-24,0,"Mon",8.6
"115",1989-04-25,1,"Tue",11.1
"116",1989-04-26,0,"Wed",9.4
"117",1989-04-27,0,"Thu",-0.2
"118",1989-04-28,0,"Fri",-0.1
"119",1989-04-29,1,"Sat",0
"120",1989-04-30,1,"Sun",1.5
"121",1989-05-01,0,"Mon",3.7
"122",1989-05-02,1,"Tue",6.8
"123",1989-05-03,2,"Wed",9.1
"124",1989-05-04,0,"Thu",11.2
"125",1989-05-05,1,"Fri",11.7
"126",1989-05-06,2,"Sat",12
"127",1989-05-07,0,"Sun",6.9
"128",1989-05-08,0,"Mon",8.8
"129",1989-05-09,1,"Tue",13.1
"130",1989-05-10,2,"Wed",10.4
"131",1989-05-11,0,"Thu",10.7
"132",1989-05-12,0,"Fri",9.2
"133",1989-05-13,0,"Sat",7.2
"134",1989-05-14,0,"Sun",5
