"","date","all","dow","tmean"
"1",1989-01-01,1,"Sun",0.2
"2",1989-01-02,2,"Mon",1.2
"3",1989-01-03,2,"Tue",-0.8
"4",1989-01-04,0,"Wed",-1.9
"5",1989-01-05,1,"Thu",0.3
"6",1989-01-06,1,"Fri",3.1
"7",1989-01-07,2,"Sat",4.8
"8",1989-01-08,6,"Sun",5.4
"9",1989-01-09,1,"Mon",3.5
"10",1989-01-10,1,"Tue",4.5
"11",1989-01-11,1,"Wed",3.4
"12",1989-01-12,4,"Thu",3.2
"13",1989-01-13,1,"Fri",4.9
"14",1989-01-14,6,"Sat",2.4
"15",1989-01-15,1,"Sun",4.3
"16",1989-01-16,4,"Mon",2.2
"17",1989-01-17,2,"Tue",1.4
"18",1989-01-18,3,"Wed",2.1
"19",1989-01-19,0,"Thu",1.5
"20",1989-01-20,1,"Fri",-0.3
"21",1989-01-21,2,"Sat",-0.6
"22",1989-01-22,2,"Sun",2.1
"23",1989-01-23,1,"Mon",1.8
"24",1989-01-24,1,"Tue",0.4
"25",1989-01-25,0,"Wed",-1.6
"26",1989-01-26,0,"Thu",-2.5
"27",1989-01-27,2,"Fri",-3.1
"28",1989-01-28,5,"Sat",-2
"29",1989-01-29,2,"Sun",-3
"30",1989-01-30,2,"Mon",-2.7
"31",1989-01-31,0,"Tue",-2.6
"32",1989-02-01,6,"Wed",-2.3
"33",1989-02-02,2,"Thu",-3.6
"34",1989-02-03,1,"Fri",-3.7
"35",1989-02-04,2,"Sat",-3.5
"36",1989-02-05,1,"Sun",-0.6
"37",1989-02-06,1,"Mon",3.1
"38",1989-02-07,1,"Tue",0
"39",1989-02-08,2,"Wed",-1.3
"40",1989-02-09,3,"Thu",-1.4
"41",1989-02-10,2,"Fri",-1
"42",1989-02-11,3,"Sat",-0.9
"43",1989-02-12,3,"Sun",0.7
"44",1989-02-13,2,"Mon",3.5
"45",1989-02-14,5,"Tue",2.2
"46",1989-02-15,1,"Wed",3.4
