"","date","all","dow","tmean"
"1",1989-01-01,3,"Sun",-5.2
"2",1989-01-02,3,"Mon",-5.1
"3",1989-01-03,3,"Tue",-4.3
"4",1989-01-04,3,"Wed",-2.8
"5",1989-01-05,5,"Thu",-1.6
"6",1989-01-06,2,"Fri",0.9
"7",1989-01-07,4,"Sat",2.8
"8",1989-01-08,2,"Sun",2.2
"9",1989-01-09,2,"Mon",2.7
"10",1989-01-10,2,"Tue",1.5
"11",1989-01-11,2,"Wed",2.6
"12",1989-01-12,1,"Thu",0.9
"13",1989-01-13,2,"Fri",2.3
"14",1989-01-14,4,"Sat",1.8
"15",1989-01-15,0,"Sun",1
"16",1989-01-16,8,"Mon",0.3
"17",1989-01-17,3,"Tue",0.1
"18",1989-01-18,1,"Wed",-0.9
"19",1989-01-19,4,"Thu",-3.7
"20",1989-01-20,3,"Fri",-0.7
"21",1989-01-21,3,"Sat",-0.1
"22",1989-01-22,2,"Sun",-0.4
"23",1989-01-23,0,"Mon",-1.7
"24",1989-01-24,4,"Tue",-2.9
"25",1989-01-25,2,"Wed",-2
"26",1989-01-26,4,"Thu",-1.7
"27",1989-01-27,3,"Fri",-2.4
"28",1989-01-28,1,"Sat",-1.1
"29",1989-01-29,2,"Sun",-1
"30",1989-01-30,1,"Mon",-2.4
"31",1989-01-31,2,"Tue",-3.3
"32",1989-02-01,2,"Wed",0.5
"33",1989-02-02,2,"Thu",-0.8
"34",1989-02-03,0,"Fri",-0.1
"35",1989-02-04,1,"Sat",-1.1
"36",1989-02-05,5,"Sun",-0.7
"37",1989-02-06,3,"Mon",1.6
"38",1989-02-07,4,"Tue",1.9
"39",1989-02-08,3,"Wed",1.8
"40",1989-02-09,3,"Thu",1.5
"41",1989-02-10,5,"Fri",0.7
"42",1989-02-11,2,"Sat",0
"43",1989-02-12,5,"Sun",2.2
"44",1989-02-13,7,"Mon",1.2
"45",1989-02-14,2,"Tue",0.1
"46",1989-02-15,3,"Wed",-0.1
"47",1989-02-16,1,"Thu",0.5
"48",1989-02-17,3,"Fri",1.3
"49",1989-02-18,5,"Sat",2.5
"50",1989-02-19,2,"Sun",7.3
"51",1989-02-20,2,"Mon",5.3
"52",1989-02-21,5,"Tue",5
"53",1989-02-22,0,"Wed",4.9
"54",1989-02-23,6,"Thu",3.3
