"","date","all","dow","tmean"
"1",1989-01-01,10,"Sun",0.5
"2",1989-01-02,7,"Mon",0.7
"3",1989-01-03,12,"Tue",-1
"4",1989-01-04,8,"Wed",-1
"5",1989-01-05,7,"Thu",0.8
"6",1989-01-06,9,"Fri",3.1
"7",1989-01-07,12,"Sat",5
"8",1989-01-08,3,"Sun",4.5
"9",1989-01-09,7,"Mon",2.2
"10",1989-01-10,5,"Tue",4.6
"11",1989-01-11,8,"Wed",5
"12",1989-01-12,4,"Thu",4.9
"13",1989-01-13,6,"Fri",5.6
"14",1989-01-14,2,"Sat",3.5
"15",1989-01-15,7,"Sun",3.5
"16",1989-01-16,10,"Mon",2.6
"17",1989-01-17,10,"Tue",2.1
"18",1989-01-18,3,"Wed",2.3
"19",1989-01-19,3,"Thu",2
"20",1989-01-20,9,"Fri",0.4
"21",1989-01-21,7,"Sat",0.3
"22",1989-01-22,6,"Sun",2.8
"23",1989-01-23,8,"Mon",3.3
"24",1989-01-24,4,"Tue",1.4
"25",1989-01-25,4,"Wed",-1.6
"26",1989-01-26,3,"Thu",-2.3
"27",1989-01-27,4,"Fri",-2.5
"28",1989-01-28,0,"Sat",-2
"29",1989-01-29,6,"Sun",-2.5
"30",1989-01-30,4,"Mon",-2.1
"31",1989-01-31,4,"Tue",-1.5
"32",1989-02-01,2,"Wed",-2.3
"33",1989-02-02,4,"Thu",-3.1
"34",1989-02-03,5,"Fri",-2.5
"35",1989-02-04,2,"Sat",-2
"36",1989-02-05,5,"Sun",-0.3
"37",1989-02-06,6,"Mon",1.7
"38",1989-02-07,3,"Tue",0.3
"39",1989-02-08,6,"Wed",0.3
"40",1989-02-09,8,"Thu",-0.3
"41",1989-02-10,6,"Fri",-0.5
"42",1989-02-11,7,"Sat",-0.5
"43",1989-02-12,6,"Sun",1.2
"44",1989-02-13,6,"Mon",3.9
"45",1989-02-14,11,"Tue",2.6
"46",1989-02-15,6,"Wed",3.6
"47",1989-02-16,3,"Thu",3.6
"48",1989-02-17,3,"Fri",3.7
"49",1989-02-18,7,"Sat",5.7
"50",1989-02-19,9,"Sun",9.6
"51",1989-02-20,7,"Mon",7.4
"52",1989-02-21,10,"Tue",7
"53",1989-02-22,10,"Wed",6.9
"54",1989-02-23,9,"Thu",6.2
"55",1989-02-24,5,"Fri",4.7
"56",1989-02-25,7,"Sat",5.6
"57",1989-02-26,5,"Sun",4
"58",1989-02-27,4,"Mon",2
"59",1989-02-28,8,"Tue",2.6
"60",1989-03-01,6,"Wed",5.3
"61",1989-03-02,6,"Thu",5.7
"62",1989-03-03,3,"Fri",6.7
"63",1989-03-04,6,"Sat",6.5
"64",1989-03-05,10,"Sun",6.9
"65",1989-03-06,4,"Mon",6.9
"66",1989-03-07,6,"Tue",8.2
"67",1989-03-08,8,"Wed",5.5
"68",1989-03-09,7,"Thu",4.7
"69",1989-03-10,5,"Fri",6
"70",1989-03-11,7,"Sat",9
"71",1989-03-12,8,"Sun",9.7
"72",1989-03-13,11,"Mon",8.5
"73",1989-03-14,4,"Tue",5.4
"74",1989-03-15,10,"Wed",6.4
"75",1989-03-16,7,"Thu",9.6
"76",1989-03-17,2,"Fri",7.4
"77",1989-03-18,7,"Sat",3.9
"78",1989-03-19,0,"Sun",2.8
"79",1989-03-20,8,"Mon",5.2
"80",1989-03-21,6,"Tue",6.7
"81",1989-03-22,6,"Wed",9.3
"82",1989-03-23,2,"Thu",5.6
"83",1989-03-24,9,"Fri",4.1
"84",1989-03-25,4,"Sat",10.5
"85",1989-03-26,2,"Sun",10.5
"86",1989-03-27,5,"Mon",11.2
"87",1989-03-28,4,"Tue",12.9
"88",1989-03-29,10,"Wed",13.7
"89",1989-03-30,7,"Thu",13.7
"90",1989-03-31,5,"Fri",13.2
"91",1989-04-01,6,"Sat",9.8
"92",1989-04-02,5,"Sun",10.3
"93",1989-04-03,1,"Mon",8.4
"94",1989-04-04,3,"Tue",7.5
"95",1989-04-05,5,"Wed",7.2
"96",1989-04-06,4,"Thu",6.9
"97",1989-04-07,5,"Fri",10
"98",1989-04-08,7,"Sat",8.7
"99",1989-04-09,9,"Sun",10.5
"100",1989-04-10,3,"Mon",11
"101",1989-04-11,8,"Tue",12.3
"102",1989-04-12,4,"Wed",9.5
"103",1989-04-13,1,"Thu",5
"104",1989-04-14,3,"Fri",5.4
"105",1989-04-15,3,"Sat",6.8
"106",1989-04-16,2,"Sun",6.2
"107",1989-04-17,3,"Mon",6
"108",1989-04-18,7,"Tue",7
"109",1989-04-19,7,"Wed",6.5
"110",1989-04-20,6,"Thu",8.3
"111",1989-04-21,6,"Fri",6.7
"112",1989-04-22,4,"Sat",5.6
"113",1989-04-23,8,"Sun",7
"114",1989-04-24,3,"Mon",9.1
"115",1989-04-25,3,"Tue",9.5
"116",1989-04-26,6,"Wed",7.9
"117",1989-04-27,5,"Thu",3.7
"118",1989-04-28,2,"Fri",3.8
"119",1989-04-29,6,"Sat",5.3
"120",1989-04-30,3,"Sun",7
"121",1989-05-01,4,"Mon",7.9
"122",1989-05-02,3,"Tue",10.5
"123",1989-05-03,9,"Wed",13.7
"124",1989-05-04,4,"Thu",15.3
"125",1989-05-05,4,"Fri",15.1
"126",1989-05-06,8,"Sat",14.3
"127",1989-05-07,11,"Sun",10.6
"128",1989-05-08,4,"Mon",11.5
"129",1989-05-09,6,"Tue",15.3
"130",1989-05-10,6,"Wed",13.7
"131",1989-05-11,8,"Thu",14.6
"132",1989-05-12,4,"Fri",12.5
"133",1989-05-13,9,"Sat",11.2
"134",1989-05-14,7,"Sun",10.7
"135",1989-05-15,5,"Mon",11.2
"136",1989-05-16,3,"Tue",12.8
"137",1989-05-17,5,"Wed",15.4
"138",1989-05-18,8,"Thu",16.9
"139",1989-05-19,6,"Fri",16.7
"140",1989-05-20,4,"Sat",17.2
"141",1989-05-21,8,"Sun",17.9
"142",1989-05-22,2,"Mon",18.8
"143",1989-05-23,7,"Tue",18
"144",1989-05-24,7,"Wed",18.9
"145",1989-05-25,5,"Thu",18.8
"146",1989-05-26,3,"Fri",18.2
"147",1989-05-27,6,"Sat",16.8
"148",1989-05-28,3,"Sun",15.6
"149",1989-05-29,7,"Mon",15.7
"150",1989-05-30,4,"Tue",16.1
"151",1989-05-31,9,"Wed",13.7
"152",1989-06-01,4,"Thu",13.1
"153",1989-06-02,5,"Fri",12.7
"154",1989-06-03,4,"Sat",10.7
"155",1989-06-04,2,"Sun",10.4
"156",1989-06-05,3,"Mon",10.2
"157",1989-06-06,4,"Tue",10.2
"158",1989-06-07,6,"Wed",11.1
"159",1989-06-08,4,"Thu",11.6
"160",1989-06-09,6,"Fri",14.4
"161",1989-06-10,7,"Sat",15.2
"162",1989-06-11,5,"Sun",16.6
"163",1989-06-12,5,"Mon",17.3
"164",1989-06-13,7,"Tue",18.4
"165",1989-06-14,4,"Wed",17.9
"166",1989-06-15,3,"Thu",17.3
"167",1989-06-16,4,"Fri",17
"168",1989-06-17,7,"Sat",16.3
"169",1989-06-18,5,"Sun",18.6
"170",1989-06-19,4,"Mon",20.8
"171",1989-06-20,5,"Tue",19.7
"172",1989-06-21,4,"Wed",21
"173",1989-06-22,6,"Thu",15.6
"174",1989-06-23,8,"Fri",12.7
"175",1989-06-24,3,"Sat",16.1
"176",1989-06-25,4,"Sun",18.3
"177",1989-06-26,4,"Mon",20.4
"178",1989-06-27,5,"Tue",19.6
"179",1989-06-28,5,"Wed",15.7
"180",1989-06-29,5,"Thu",15.8
"181",1989-06-30,5,"Fri",17.3
"182",1989-07-01,7,"Sat",17.5
"183",1989-07-02,3,"Sun",15.3
"184",1989-07-03,2,"Mon",14.8
"185",1989-07-04,4,"Tue",15.7
"186",1989-07-05,6,"Wed",18.4
"187",1989-07-06,4,"Thu",21.6
"188",1989-07-07,9,"Fri",22.4
"189",1989-07-08,4,"Sat",19.3
"190",1989-07-09,5,"Sun",18.9
"191",1989-07-10,7,"Mon",18.2
"192",1989-07-11,5,"Tue",17
"193",1989-07-12,8,"Wed",18.9
"194",1989-07-13,3,"Thu",19.5
"195",1989-07-14,7,"Fri",16.8
"196",1989-07-15,3,"Sat",15.3
"197",1989-07-16,5,"Sun",17.6
"198",1989-07-17,4,"Mon",18
"199",1989-07-18,4,"Tue",17.6
"200",1989-07-19,6,"Wed",17.7
"201",1989-07-20,7,"Thu",18
"202",1989-07-21,8,"Fri",21
"203",1989-07-22,5,"Sat",20.1
"204",1989-07-23,4,"Sun",23.8
"205",1989-07-24,6,"Mon",21.9
"206",1989-07-25,2,"Tue",20.2
"207",1989-07-26,5,"Wed",20.7
"208",1989-07-27,2,"Thu",20.4
"209",1989-07-28,3,"Fri",18.5
"210",1989-07-29,6,"Sat",18.8
"211",1989-07-30,5,"Sun",20.6
"212",1989-07-31,8,"Mon",16.1
"213",1989-08-01,3,"Tue",12.2
"214",1989-08-02,11,"Wed",14.2
"215",1989-08-03,3,"Thu",14.6
"216",1989-08-04,1,"Fri",16.2
"217",1989-08-05,3,"Sat",18.1
"218",1989-08-06,9,"Sun",19.1
"219",1989-08-07,4,"Mon",19.4
"220",1989-08-08,3,"Tue",18.9
"221",1989-08-09,3,"Wed",17.9
"222",1989-08-10,4,"Thu",18.1
"223",1989-08-11,6,"Fri",19.3
"224",1989-08-12,6,"Sat",19.1
"225",1989-08-13,5,"Sun",19.7
"226",1989-08-14,8,"Mon",20.4
"227",1989-08-15,4,"Tue",21.6
"228",1989-08-16,7,"Wed",22.8
"229",1989-08-17,2,"Thu",19.3
"230",1989-08-18,8,"Fri",18.7
"231",1989-08-19,3,"Sat",18.9
"232",1989-08-20,4,"Sun",20.4
"233",1989-08-21,3,"Mon",22
"234",1989-08-22,6,"Tue",19.9
"235",1989-08-23,7,"Wed",19.9
"236",1989-08-24,7,"Thu",18.8
"237",1989-08-25,7,"Fri",18.1
"238",1989-08-26,9,"Sat",18
"239",1989-08-27,4,"Sun",16
"240",1989-08-28,7,"Mon",12.8
"241",1989-08-29,6,"Tue",12.1
"242",1989-08-30,3,"Wed",11.8
"243",1989-08-31,4,"Thu",13.4
"244",1989-09-01,1,"Fri",14.6
"245",1989-09-02,6,"Sat",13.5
"246",1989-09-03,2,"Sun",11.7
"247",1989-09-04,5,"Mon",10.9
"248",1989-09-05,3,"Tue",12
"249",1989-09-06,4,"Wed",12.3
"250",1989-09-07,5,"Thu",13.5
"251",1989-09-08,3,"Fri",14.1
"252",1989-09-09,10,"Sat",15.7
"253",1989-09-10,3,"Sun",17.2
"254",1989-09-11,8,"Mon",16.5
"255",1989-09-12,6,"Tue",15.6
"256",1989-09-13,4,"Wed",14.4
"257",1989-09-14,6,"Thu",14.4
"258",1989-09-15,9,"Fri",14.5
"259",1989-09-16,4,"Sat",16.9
"260",1989-09-17,6,"Sun",16.9
"261",1989-09-18,6,"Mon",18.5
"262",1989-09-19,9,"Tue",18
"263",1989-09-20,1,"Wed",17.7
"264",1989-09-21,3,"Thu",16.5
"265",1989-09-22,5,"Fri",17.6
"266",1989-09-23,3,"Sat",14.2
"267",1989-09-24,13,"Sun",12.9
"268",1989-09-25,5,"Mon",13.2
"269",1989-09-26,4,"Tue",13.6
"270",1989-09-27,1,"Wed",12.5
"271",1989-09-28,8,"Thu",9.1
"272",1989-09-29,3,"Fri",11.1
"273",1989-09-30,4,"Sat",10.8
"274",1989-10-01,6,"Sun",11.3
"275",1989-10-02,9,"Mon",10.4
"276",1989-10-03,5,"Tue",10
"277",1989-10-04,3,"Wed",8.5
"278",1989-10-05,6,"Thu",9.2
"279",1989-10-06,9,"Fri",10.1
"280",1989-10-07,9,"Sat",10.3
"281",1989-10-08,2,"Sun",7.6
"282",1989-10-09,1,"Mon",8
"283",1989-10-10,11,"Tue",8.3
"284",1989-10-11,8,"Wed",7.2
"285",1989-10-12,6,"Thu",9.7
"286",1989-10-13,5,"Fri",8.8
"287",1989-10-14,10,"Sat",8.9
"288",1989-10-15,2,"Sun",9
"289",1989-10-16,10,"Mon",5.5
"290",1989-10-17,10,"Tue",7.4
"291",1989-10-18,9,"Wed",8.5
"292",1989-10-19,6,"Thu",10
"293",1989-10-20,1,"Fri",10
"294",1989-10-21,3,"Sat",12.6
"295",1989-10-22,8,"Sun",11.6
"296",1989-10-23,10,"Mon",11.1
"297",1989-10-24,5,"Tue",11.1
"298",1989-10-25,9,"Wed",10.8
"299",1989-10-26,5,"Thu",10.8
"300",1989-10-27,5,"Fri",10
"301",1989-10-28,7,"Sat",9.3
"302",1989-10-29,8,"Sun",10.9
"303",1989-10-30,8,"Mon",14.3
"304",1989-10-31,4,"Tue",14.1
"305",1989-11-01,10,"Wed",12.4
"306",1989-11-02,4,"Thu",11.8
"307",1989-11-03,7,"Fri",10.4
"308",1989-11-04,7,"Sat",6.9
"309",1989-11-05,2,"Sun",6.4
"310",1989-11-06,7,"Mon",4.7
"311",1989-11-07,9,"Tue",4.2
"312",1989-11-08,5,"Wed",3.4
"313",1989-11-09,5,"Thu",6.6
"314",1989-11-10,7,"Fri",2.7
"315",1989-11-11,3,"Sat",2.9
"316",1989-11-12,3,"Sun",2.1
"317",1989-11-13,5,"Mon",2.5
"318",1989-11-14,7,"Tue",2.2
"319",1989-11-15,7,"Wed",1.5
"320",1989-11-16,10,"Thu",3.6
"321",1989-11-17,2,"Fri",2
"322",1989-11-18,7,"Sat",1.5
"323",1989-11-19,7,"Sun",0.8
"324",1989-11-20,10,"Mon",1.2
"325",1989-11-21,4,"Tue",3.3
"326",1989-11-22,1,"Wed",3.8
"327",1989-11-23,3,"Thu",-0.2
"328",1989-11-24,5,"Fri",-2.1
"329",1989-11-25,5,"Sat",-2.2
"330",1989-11-26,1,"Sun",-4.4
"331",1989-11-27,8,"Mon",-4.2
"332",1989-11-28,2,"Tue",-1.4
"333",1989-11-29,7,"Wed",-0.4
"334",1989-11-30,14,"Thu",-1.9
"335",1989-12-01,3,"Fri",-2.4
"336",1989-12-02,12,"Sat",-2.1
"337",1989-12-03,6,"Sun",-2.7
"338",1989-12-04,4,"Mon",-3.7
"339",1989-12-05,5,"Tue",-2.2
"340",1989-12-06,1,"Wed",-0.8
"341",1989-12-07,4,"Thu",-1.1
"342",1989-12-08,8,"Fri",0.9
"343",1989-12-09,8,"Sat",-0.8
"344",1989-12-10,4,"Sun",0.2
"345",1989-12-11,7,"Mon",0.3
"346",1989-12-12,15,"Tue",1.3
"347",1989-12-13,3,"Wed",8.2
"348",1989-12-14,4,"Thu",10.1
"349",1989-12-15,8,"Fri",10.9
"350",1989-12-16,5,"Sat",10.6
"351",1989-12-17,8,"Sun",9.7
"352",1989-12-18,5,"Mon",6.1
"353",1989-12-19,8,"Tue",7.6
"354",1989-12-20,8,"Wed",6.8
"355",1989-12-21,4,"Thu",8.8
"356",1989-12-22,11,"Fri",7.7
"357",1989-12-23,2,"Sat",5.9
"358",1989-12-24,3,"Sun",4.7
"359",1989-12-25,8,"Mon",-0.4
"360",1989-12-26,8,"Tue",-2.2
"361",1989-12-27,10,"Wed",-2.2
"362",1989-12-28,10,"Thu",-2.3
"363",1989-12-29,3,"Fri",-2.7
"364",1989-12-30,5,"Sat",-2.6
"365",1989-12-31,7,"Sun",-2.8
"366",1990-01-01,8,"Mon",-2.6
"367",1990-01-02,7,"Tue",-2.7
"368",1990-01-03,7,"Wed",-2.4
"369",1990-01-04,11,"Thu",-2.2
"370",1990-01-05,11,"Fri",-0.9
"371",1990-01-06,5,"Sat",0.8
"372",1990-01-07,11,"Sun",0.8
"373",1990-01-08,8,"Mon",-1.2
"374",1990-01-09,7,"Tue",-2.4
"375",1990-01-10,10,"Wed",-3.3
"376",1990-01-11,15,"Thu",-2.9
"377",1990-01-12,6,"Fri",-3.3
"378",1990-01-13,5,"Sat",-3.2
"379",1990-01-14,10,"Sun",-3.2
"380",1990-01-15,9,"Mon",-1.1
"381",1990-01-16,9,"Tue",1.6
"382",1990-01-17,10,"Wed",1.4
"383",1990-01-18,11,"Thu",2.2
"384",1990-01-19,10,"Fri",-0.9
"385",1990-01-20,6,"Sat",0.8
"386",1990-01-21,8,"Sun",1.4
"387",1990-01-22,14,"Mon",0.4
"388",1990-01-23,10,"Tue",-0.2
"389",1990-01-24,9,"Wed",7.1
"390",1990-01-25,9,"Thu",8.2
"391",1990-01-26,9,"Fri",5.9
"392",1990-01-27,6,"Sat",4.7
"393",1990-01-28,10,"Sun",2.3
"394",1990-01-29,5,"Mon",2.1
"395",1990-01-30,6,"Tue",4.2
"396",1990-01-31,3,"Wed",1.6
"397",1990-02-01,13,"Thu",3.7
"398",1990-02-02,6,"Fri",3.4
"399",1990-02-03,5,"Sat",5.3
"400",1990-02-04,7,"Sun",4.7
"401",1990-02-05,6,"Mon",1.9
"402",1990-02-06,10,"Tue",1.7
"403",1990-02-07,16,"Wed",5.3
"404",1990-02-08,8,"Thu",9.6
"405",1990-02-09,6,"Fri",4.6
"406",1990-02-10,7,"Sat",1.3
"407",1990-02-11,7,"Sun",3.8
"408",1990-02-12,11,"Mon",2.6
"409",1990-02-13,8,"Tue",3.2
"410",1990-02-14,6,"Wed",8.1
"411",1990-02-15,8,"Thu",7.4
"412",1990-02-16,10,"Fri",2
"413",1990-02-17,4,"Sat",4.7
"414",1990-02-18,3,"Sun",6.9
"415",1990-02-19,4,"Mon",9
"416",1990-02-20,11,"Tue",7.4
"417",1990-02-21,8,"Wed",7.2
"418",1990-02-22,6,"Thu",7.7
"419",1990-02-23,5,"Fri",7.4
"420",1990-02-24,9,"Sat",7.7
"421",1990-02-25,8,"Sun",9.9
"422",1990-02-26,8,"Mon",9.8
"423",1990-02-27,7,"Tue",6.4
"424",1990-02-28,8,"Wed",5.5
"425",1990-03-01,1,"Thu",4.6
"426",1990-03-02,5,"Fri",1.7
"427",1990-03-03,5,"Sat",1.2
"428",1990-03-04,4,"Sun",1.1
"429",1990-03-05,3,"Mon",2.7
"430",1990-03-06,8,"Tue",6.3
"431",1990-03-07,8,"Wed",7.7
"432",1990-03-08,8,"Thu",7.3
"433",1990-03-09,10,"Fri",10.4
"434",1990-03-10,12,"Sat",9.8
"435",1990-03-11,4,"Sun",9.4
"436",1990-03-12,4,"Mon",11.1
"437",1990-03-13,10,"Tue",10.3
"438",1990-03-14,6,"Wed",9.6
"439",1990-03-15,6,"Thu",9.2
"440",1990-03-16,4,"Fri",9.9
"441",1990-03-17,5,"Sat",6.8
"442",1990-03-18,5,"Sun",8.5
"443",1990-03-19,11,"Mon",9.1
"444",1990-03-20,6,"Tue",7.9
"445",1990-03-21,3,"Wed",13.9
"446",1990-03-22,4,"Thu",14.8
"447",1990-03-23,7,"Fri",9.5
"448",1990-03-24,6,"Sat",8.5
"449",1990-03-25,4,"Sun",6.3
"450",1990-03-26,5,"Mon",2.9
"451",1990-03-27,10,"Tue",2.9
"452",1990-03-28,3,"Wed",2.8
"453",1990-03-29,6,"Thu",4.3
"454",1990-03-30,6,"Fri",7.7
"455",1990-03-31,1,"Sat",9.2
"456",1990-04-01,10,"Sun",9.2
"457",1990-04-02,5,"Mon",10.9
"458",1990-04-03,6,"Tue",7.6
"459",1990-04-04,5,"Wed",6.1
"460",1990-04-05,6,"Thu",5.5
"461",1990-04-06,6,"Fri",5.3
"462",1990-04-07,3,"Sat",6.4
"463",1990-04-08,2,"Sun",4.8
"464",1990-04-09,8,"Mon",3.9
"465",1990-04-10,3,"Tue",6.2
"466",1990-04-11,5,"Wed",5.4
"467",1990-04-12,5,"Thu",7
"468",1990-04-13,9,"Fri",9.1
"469",1990-04-14,7,"Sat",6
"470",1990-04-15,4,"Sun",4.1
"471",1990-04-16,12,"Mon",5.5
"472",1990-04-17,4,"Tue",5.3
"473",1990-04-18,4,"Wed",5.4
"474",1990-04-19,6,"Thu",5.3
"475",1990-04-20,5,"Fri",6.2
"476",1990-04-21,6,"Sat",7.6
"477",1990-04-22,4,"Sun",8.5
"478",1990-04-23,7,"Mon",5.6
"479",1990-04-24,6,"Tue",9.2
"480",1990-04-25,7,"Wed",9.9
"481",1990-04-26,2,"Thu",9.7
"482",1990-04-27,5,"Fri",10.3
"483",1990-04-28,7,"Sat",10.8
"484",1990-04-29,4,"Sun",11.8
"485",1990-04-30,4,"Mon",14.2
"486",1990-05-01,4,"Tue",17
"487",1990-05-02,5,"Wed",17.5
