"","date","all","dow","tmean"
"1",1989-01-01,8,"Sun",-0.782
"2",1989-01-02,7,"Mon",-0.1459
"3",1989-01-03,7,"Tue",-1.3705
"4",1989-01-04,8,"Wed",-3.2729
"5",1989-01-05,4,"Thu",0.0839999999999999
"6",1989-01-06,3,"Fri",2.9365
"7",1989-01-07,5,"Sat",4.6553
"8",1989-01-08,2,"Sun",4.4693
"9",1989-01-09,4,"Mon",2.5723
"10",1989-01-10,8,"Tue",4.0861
"11",1989-01-11,7,"Wed",3.3566
"12",1989-01-12,9,"Thu",2.9295
"13",1989-01-13,5,"Fri",4.6604
"14",1989-01-14,4,"Sat",2.8538
"15",1989-01-15,8,"Sun",4.2179
"16",1989-01-16,4,"Mon",1.8132
"17",1989-01-17,6,"Tue",-0.3056
"18",1989-01-18,10,"Wed",1.3405
"19",1989-01-19,4,"Thu",0.0479
"20",1989-01-20,3,"Fri",-1.127
"21",1989-01-21,12,"Sat",-1.2401
"22",1989-01-22,1,"Sun",1.8887
"23",1989-01-23,5,"Mon",1.4966
"24",1989-01-24,5,"Tue",-0.1772
"25",1989-01-25,5,"Wed",-2.038
"26",1989-01-26,2,"Thu",-2.6517
"27",1989-01-27,1,"Fri",-2.7506
"28",1989-01-28,6,"Sat",-2.4408
"29",1989-01-29,4,"Sun",-2.5358
"30",1989-01-30,6,"Mon",-2.7502
"31",1989-01-31,6,"Tue",-2.9422
"32",1989-02-01,8,"Wed",-3.2429
"33",1989-02-02,5,"Thu",-3.6153
"34",1989-02-03,3,"Fri",-3.5377
"35",1989-02-04,3,"Sat",-3.2739
"36",1989-02-05,5,"Sun",0.1335
"37",1989-02-06,2,"Mon",3.403
"38",1989-02-07,5,"Tue",0.625
"39",1989-02-08,7,"Wed",0.1843
"40",1989-02-09,2,"Thu",-1.1761
"41",1989-02-10,3,"Fri",-1.0591
"42",1989-02-11,7,"Sat",-0.6894
"43",1989-02-12,6,"Sun",1.5547
"44",1989-02-13,7,"Mon",3.4939
"45",1989-02-14,7,"Tue",1.883
"46",1989-02-15,4,"Wed",3.1228
"47",1989-02-16,10,"Thu",3.2516
"48",1989-02-17,6,"Fri",3.5075
"49",1989-02-18,6,"Sat",6.1161
"50",1989-02-19,7,"Sun",10.5285
"51",1989-02-20,4,"Mon",9.7981
"52",1989-02-21,2,"Tue",5.7976
"53",1989-02-22,6,"Wed",5.8122
"54",1989-02-23,3,"Thu",5.0085
"55",1989-02-24,8,"Fri",5.284
"56",1989-02-25,5,"Sat",4.9389
"57",1989-02-26,6,"Sun",3.4704
"58",1989-02-27,6,"Mon",1.5077
"59",1989-02-28,3,"Tue",1.8778
"60",1989-03-01,11,"Wed",4.3578
"61",1989-03-02,5,"Thu",4.4192
"62",1989-03-03,4,"Fri",5.8165
"63",1989-03-04,6,"Sat",5.2007
"64",1989-03-05,3,"Sun",5.279
"65",1989-03-06,10,"Mon",6.524
"66",1989-03-07,3,"Tue",8.6726
"67",1989-03-08,8,"Wed",4.8605
"68",1989-03-09,5,"Thu",3.7881
"69",1989-03-10,6,"Fri",5.5178
"70",1989-03-11,1,"Sat",8.5501
"71",1989-03-12,5,"Sun",8.98
"72",1989-03-13,6,"Mon",8.8707
"73",1989-03-14,4,"Tue",4.6306
"74",1989-03-15,4,"Wed",5.9678
"75",1989-03-16,2,"Thu",8.4588
"76",1989-03-17,5,"Fri",7.3139
"77",1989-03-18,1,"Sat",2.8003
"78",1989-03-19,4,"Sun",3.0033
"79",1989-03-20,3,"Mon",4.9745
"80",1989-03-21,3,"Tue",5.904
"81",1989-03-22,5,"Wed",8.2151
"82",1989-03-23,4,"Thu",4.5903
"83",1989-03-24,4,"Fri",3.9291
"84",1989-03-25,2,"Sat",9.8516
"85",1989-03-26,5,"Sun",9.4769
"86",1989-03-27,4,"Mon",9.8753
"87",1989-03-28,2,"Tue",12.6375
"88",1989-03-29,2,"Wed",13.6758
"89",1989-03-30,5,"Thu",13.0317
"90",1989-03-31,6,"Fri",12.6553
"91",1989-04-01,4,"Sat",9.6065
"92",1989-04-02,5,"Sun",8.7527
"93",1989-04-03,5,"Mon",6.8755
"94",1989-04-04,3,"Tue",5.4254
"95",1989-04-05,8,"Wed",6.493
"96",1989-04-06,5,"Thu",6.2751
"97",1989-04-07,1,"Fri",8.5243
