"","date","all","dow","tmean"
"1",1989-01-01,8,"Sun",4.4722
"2",1989-01-02,5,"Mon",3.429
"3",1989-01-03,10,"Tue",2.9142
"4",1989-01-04,7,"Wed",1.543
"5",1989-01-05,6,"Thu",0.8
"6",1989-01-06,7,"Fri",0.6714
"7",1989-01-07,10,"Sat",3.6434
"8",1989-01-08,7,"Sun",3.7286
"9",1989-01-09,5,"Mon",2.7426
"10",1989-01-10,5,"Tue",5.5712
"11",1989-01-11,12,"Wed",5.9286
"12",1989-01-12,10,"Thu",5.6428
"13",1989-01-13,7,"Fri",4.586
"14",1989-01-14,5,"Sat",3.6718
"15",1989-01-15,12,"Sun",3.4288
"16",1989-01-16,6,"Mon",3.5288
"17",1989-01-17,8,"Tue",3.3718
"18",1989-01-18,8,"Wed",3.1572
"19",1989-01-19,8,"Thu",3.4004
"20",1989-01-20,4,"Fri",4.1434
"21",1989-01-21,5,"Sat",3.3002
"22",1989-01-22,10,"Sun",3.2714
"23",1989-01-23,8,"Mon",3.9004
"24",1989-01-24,16,"Tue",2.6716
"25",1989-01-25,5,"Wed",3.6006
"26",1989-01-26,13,"Thu",4.1864
"27",1989-01-27,5,"Fri",2.9432
"28",1989-01-28,12,"Sat",3.8864
"29",1989-01-29,7,"Sun",4.6292
"30",1989-01-30,3,"Mon",5.0292
"31",1989-01-31,8,"Tue",5.4582
"32",1989-02-01,8,"Wed",5.9584
"33",1989-02-02,6,"Thu",5.5436
"34",1989-02-03,8,"Fri",4.3146
"35",1989-02-04,8,"Sat",4.057
"36",1989-02-05,8,"Sun",4.314
"37",1989-02-06,10,"Mon",4.043
"38",1989-02-07,8,"Tue",5.5006
"39",1989-02-08,9,"Wed",6.6438
"40",1989-02-09,7,"Thu",6.972
"41",1989-02-10,7,"Fri",5.9
"42",1989-02-11,12,"Sat",4.7716
"43",1989-02-12,4,"Sun",4.9146
"44",1989-02-13,5,"Mon",8.986
"45",1989-02-14,5,"Tue",7.0714
"46",1989-02-15,6,"Wed",6.6
"47",1989-02-16,5,"Thu",5.9288
"48",1989-02-17,7,"Fri",6.6284
"49",1989-02-18,4,"Sat",5.543
"50",1989-02-19,5,"Sun",7.229
"51",1989-02-20,11,"Mon",7.5144
"52",1989-02-21,5,"Tue",7.5716
"53",1989-02-22,13,"Wed",7.4142
"54",1989-02-23,3,"Thu",6.957
"55",1989-02-24,7,"Fri",6.6994
"56",1989-02-25,4,"Sat",3.6996
"57",1989-02-26,8,"Sun",5.157
"58",1989-02-27,6,"Mon",5.0426
"59",1989-02-28,7,"Tue",4.7856
"60",1989-03-01,5,"Wed",5.9144
"61",1989-03-02,8,"Thu",6.4146
"62",1989-03-03,8,"Fri",5.7142
"63",1989-03-04,8,"Sat",11.143
