"","date","all","dow","tmean"
"1",1989-01-01,1,"Sun",-7.7842
"2",1989-01-02,0,"Mon",-4.7516
"3",1989-01-03,2,"Tue",-6.557
"4",1989-01-04,1,"Wed",-8.9868
"5",1989-01-05,2,"Thu",-7.7544
"6",1989-01-06,1,"Fri",-1.8678
"7",1989-01-07,0,"Sat",-0.2246
"8",1989-01-08,1,"Sun",0.9998
"9",1989-01-09,1,"Mon",-0.5812
"10",1989-01-10,2,"Tue",-2.0056
"11",1989-01-11,1,"Wed",-2.3544
"12",1989-01-12,0,"Thu",-1.4488
"13",1989-01-13,0,"Fri",-1.3138
"14",1989-01-14,1,"Sat",-5.0896
"15",1989-01-15,0,"Sun",-6.5032
"16",1989-01-16,2,"Mon",-4.3192
"17",1989-01-17,0,"Tue",-6.422
"18",1989-01-18,0,"Wed",-7.3194
"19",1989-01-19,1,"Thu",-6.1436
"20",1989-01-20,1,"Fri",-1.5622
"21",1989-01-21,0,"Sat",-1.6784
"22",1989-01-22,1,"Sun",-3.2976
"23",1989-01-23,0,"Mon",-8.36
"24",1989-01-24,1,"Tue",-7.295
"25",1989-01-25,1,"Wed",-4.9948
"26",1989-01-26,0,"Thu",-6.0354
"27",1989-01-27,3,"Fri",-5.484
"28",1989-01-28,0,"Sat",-5.7894
"29",1989-01-29,1,"Sun",-6.9138
"30",1989-01-30,0,"Mon",-6.0732
"31",1989-01-31,1,"Tue",-4.0542
"32",1989-02-01,0,"Wed",-3.4028
"33",1989-02-02,0,"Thu",-3.5812
"34",1989-02-03,0,"Fri",-4.0272
"35",1989-02-04,0,"Sat",-5.0678
"36",1989-02-05,3,"Sun",-6.0544
"37",1989-02-06,0,"Mon",-4.9842
"38",1989-02-07,0,"Tue",-1.038
"39",1989-02-08,0,"Wed",-1.7218
"40",1989-02-09,0,"Thu",0.4486
"41",1989-02-10,0,"Fri",-0.2676
"42",1989-02-11,2,"Sat",-3.5542
"43",1989-02-12,2,"Sun",-4.0354
"44",1989-02-13,0,"Mon",-4.1194
"45",1989-02-14,1,"Tue",-3.7328
"46",1989-02-15,0,"Wed",-2.8814
"47",1989-02-16,0,"Thu",-0.6056
"48",1989-02-17,2,"Fri",-2.522
"49",1989-02-18,0,"Sat",0.4646
"50",1989-02-19,1,"Sun",3.4106
"51",1989-02-20,0,"Mon",2.7916
"52",1989-02-21,1,"Tue",3.0376
