"","date","all","dow","tmean"
"1",1989-01-01,10,"Sun",-4.3976
"2",1989-01-02,5,"Mon",-5.6474
"3",1989-01-03,3,"Tue",-5.0478
"4",1989-01-04,4,"Wed",-4.5466
"5",1989-01-05,8,"Thu",-3.2739
"6",1989-01-06,6,"Fri",-0.5996
"7",1989-01-07,4,"Sat",-1.0016
"8",1989-01-08,9,"Sun",1.5253
"9",1989-01-09,5,"Mon",0.653
"10",1989-01-10,8,"Tue",-1.3229
"11",1989-01-11,5,"Wed",0.0538000000000001
"12",1989-01-12,10,"Thu",-0.2466
"13",1989-01-13,8,"Fri",2.1277
"14",1989-01-14,3,"Sat",-0.2964
"15",1989-01-15,7,"Sun",-0.1719
"16",1989-01-16,4,"Mon",-1.1719
"17",1989-01-17,7,"Tue",-1.947
"18",1989-01-18,7,"Wed",-3.0213
"19",1989-01-19,6,"Thu",-3.8466
"20",1989-01-20,2,"Fri",-2.5217
"21",1989-01-21,6,"Sat",-1.8723
"22",1989-01-22,6,"Sun",1.3261
"23",1989-01-23,3,"Mon",-1.8952
"24",1989-01-24,4,"Tue",-3.7201
"25",1989-01-25,5,"Wed",-3.3711
"26",1989-01-26,7,"Thu",-3.096
"27",1989-01-27,5,"Fri",-3.0715
"28",1989-01-28,5,"Sat",-3.7723
"29",1989-01-29,6,"Sun",-2.9225
"30",1989-01-30,4,"Mon",-2.4221
"31",1989-01-31,7,"Tue",-2.3478
"32",1989-02-01,13,"Wed",-2.4494
"33",1989-02-02,7,"Thu",-2.4237
"34",1989-02-03,6,"Fri",-0.9731
"35",1989-02-04,4,"Sat",-1.649
"36",1989-02-05,4,"Sun",-0.9988
"37",1989-02-06,7,"Mon",0.2518
"38",1989-02-07,4,"Tue",1.2763
"39",1989-02-08,6,"Wed",1.1257
"40",1989-02-09,4,"Thu",1.2968
"41",1989-02-10,5,"Fri",-0.5795
"42",1989-02-11,1,"Sat",-0.2004
"43",1989-02-12,3,"Sun",1.5759
"44",1989-02-13,5,"Mon",5.7751
"45",1989-02-14,8,"Tue",2.3253
"46",1989-02-15,5,"Wed",0.1743
"47",1989-02-16,8,"Thu",1.7012
"48",1989-02-17,5,"Fri",3.4759
"49",1989-02-18,3,"Sat",4.4257
"50",1989-02-19,8,"Sun",5.6759
"51",1989-02-20,5,"Mon",6.2257
"52",1989-02-21,5,"Tue",7.851
"53",1989-02-22,5,"Wed",7.9004
"54",1989-02-23,6,"Thu",7.1225
"55",1989-02-24,4,"Fri",5.7213
"56",1989-02-25,4,"Sat",6.0751
"57",1989-02-26,7,"Sun",4.0506
"58",1989-02-27,3,"Mon",1.2004
"59",1989-02-28,2,"Tue",1.2506
"60",1989-03-01,7,"Wed",2.6755
"61",1989-03-02,5,"Thu",4.3257
"62",1989-03-03,5,"Fri",2.8249
"63",1989-03-04,5,"Sat",6.1755
"64",1989-03-05,3,"Sun",6.151
"65",1989-03-06,4,"Mon",6.9763
"66",1989-03-07,4,"Tue",8.0506
"67",1989-03-08,8,"Wed",7.3506
"68",1989-03-09,5,"Thu",4.4506
"69",1989-03-10,1,"Fri",6.4253
"70",1989-03-11,6,"Sat",8.8755
"71",1989-03-12,5,"Sun",10.2755
"72",1989-03-13,7,"Mon",8.9751
"73",1989-03-14,11,"Tue",6.5755
"74",1989-03-15,4,"Wed",6.0763
"75",1989-03-16,6,"Thu",8.6755
"76",1989-03-17,3,"Fri",7.6747
"77",1989-03-18,8,"Sat",5.3755
"78",1989-03-19,3,"Sun",5.3755
"79",1989-03-20,6,"Mon",7.1502
"80",1989-03-21,6,"Tue",7.7755
"81",1989-03-22,6,"Wed",9.2012
"82",1989-03-23,4,"Thu",7.1755
"83",1989-03-24,5,"Fri",4.951
"84",1989-03-25,5,"Sat",8.0759
"85",1989-03-26,7,"Sun",10.8249
"86",1989-03-27,8,"Mon",13.6498
"87",1989-03-28,7,"Tue",14.3747
"88",1989-03-29,3,"Wed",13.6755
"89",1989-03-30,3,"Thu",14.1498
"90",1989-03-31,1,"Fri",15.3012
"91",1989-04-01,9,"Sat",12.2751
"92",1989-04-02,4,"Sun",11.0996
"93",1989-04-03,6,"Mon",10.7012
"94",1989-04-04,4,"Tue",8.9759
"95",1989-04-05,2,"Wed",5.8036
"96",1989-04-06,7,"Thu",6.5514
"97",1989-04-07,4,"Fri",9.2759
"98",1989-04-08,3,"Sat",10.3751
"99",1989-04-09,2,"Sun",12.2257
"100",1989-04-10,3,"Mon",13.5257
"101",1989-04-11,3,"Tue",13.8751
"102",1989-04-12,6,"Wed",9.8992
"103",1989-04-13,8,"Thu",2.8522
"104",1989-04-14,1,"Fri",5.0028
"105",1989-04-15,8,"Sat",7.7534
"106",1989-04-16,4,"Sun",6.5759
"107",1989-04-17,7,"Mon",6.7767
"108",1989-04-18,4,"Tue",8.5016
"109",1989-04-19,5,"Wed",9.3767
"110",1989-04-20,4,"Thu",11.5016
"111",1989-04-21,7,"Fri",8.4751
"112",1989-04-22,6,"Sat",6.7506
"113",1989-04-23,4,"Sun",8.6755
"114",1989-04-24,8,"Mon",11.6514
"115",1989-04-25,6,"Tue",11.6514
"116",1989-04-26,2,"Wed",10.0261
"117",1989-04-27,10,"Thu",5.0008
"118",1989-04-28,5,"Fri",5.4008
"119",1989-04-29,10,"Sat",5.8253
"120",1989-04-30,6,"Sun",7.2755
"121",1989-05-01,6,"Mon",9.6261
"122",1989-05-02,3,"Tue",11.451
"123",1989-05-03,2,"Wed",13.5008
"124",1989-05-04,3,"Thu",15.3008
"125",1989-05-05,5,"Fri",16.451
"126",1989-05-06,5,"Sat",16.651
"127",1989-05-07,5,"Sun",14.1996
"128",1989-05-08,4,"Mon",13.5755
"129",1989-05-09,4,"Tue",16.4506
"130",1989-05-10,2,"Wed",13.9257
"131",1989-05-11,5,"Thu",13.9759
"132",1989-05-12,9,"Fri",12.1004
"133",1989-05-13,4,"Sat",12.7751
"134",1989-05-14,5,"Sun",12.4004
"135",1989-05-15,5,"Mon",12.5257
"136",1989-05-16,4,"Tue",13.6008
"137",1989-05-17,5,"Wed",15.9514
"138",1989-05-18,0,"Thu",17.4257
"139",1989-05-19,4,"Fri",17.7771
"140",1989-05-20,5,"Sat",17.7012
"141",1989-05-21,4,"Sun",18.4751
"142",1989-05-22,7,"Mon",18.6498
"143",1989-05-23,2,"Tue",18.8008
"144",1989-05-24,9,"Wed",19.3253
"145",1989-05-25,5,"Thu",18.3004
"146",1989-05-26,3,"Fri",17.3767
"147",1989-05-27,7,"Sat",17.9265
"148",1989-05-28,4,"Sun",16.0008
"149",1989-05-29,6,"Mon",16.451
"150",1989-05-30,5,"Tue",17.0767
"151",1989-05-31,7,"Wed",16.3502
"152",1989-06-01,8,"Thu",15.0257
"153",1989-06-02,3,"Fri",15.351
"154",1989-06-03,6,"Sat",12.7265
"155",1989-06-04,5,"Sun",12.3755
"156",1989-06-05,7,"Mon",11.3249
