T,best_estimate,95CI_low,95CI_high,percentil
22,1.0000,1.0000,1.0000,50
23,1.0062,1.0007,1.0118,55
24,1.0129,1.0007,1.0253,63
25,1.0200,0.9997,1.0407,68
26,1.0275,0.9976,1.0583,74
27,1.0374,1.0005,1.0757,79
28,1.0516,1.0130,1.0918,84
29,1.0704,1.0308,1.1115,90
30,1.0940,1.0448,1.1455,93
31,1.1278,1.0592,1.2008,96
32,1.1840,1.1017,1.2725,98
33,1.2662,1.1734,1.3664,99
34,1.3793,1.2640,1.5052,99.5
35,1.5306,1.3568,1.7267,
36,1.7302,1.4453,2.0711,
37,1.9922,1.5323,2.5901,
38,2.3366,1.6205,3.3692,
